,Date,Open,High,Low,Close,Adj Close,Volume
0,2019-07-15,1.25,1.25,1.25,1.25,1.25,0.0
1,2019-07-16,1.25,1.25,1.25,1.25,1.25,0.0
2,2019-07-17,1.25,1.25,1.25,1.25,1.25,0.0
3,2019-07-18,1.25,1.25,1.25,1.25,1.25,0.0
4,2019-07-19,1.25,1.25,1.25,1.25,1.25,0.0
5,2019-07-22,1.25,1.25,1.25,1.25,1.25,0.0
6,2019-07-23,1.25,1.25,1.25,1.25,1.25,0.0
7,2019-07-24,1.25,1.25,1.25,1.25,1.25,0.0
8,2019-07-25,1.25,1.25,1.25,1.25,1.25,0.0
9,2019-07-26,1.25,1.25,1.25,1.25,1.25,0.0
10,2019-07-29,1.25,1.25,1.25,1.25,1.25,0.0
11,2019-07-30,1.25,1.25,1.25,1.25,1.25,0.0
12,2019-07-31,1.25,1.25,1.25,1.25,1.25,0.0
13,2019-08-01,1.25,1.25,1.25,1.25,1.25,0.0
14,2019-08-02,1.25,1.25,1.25,1.25,1.25,0.0
15,2019-08-05,1.25,1.25,1.25,1.25,1.25,0.0
16,2019-08-06,1.25,1.25,1.25,1.25,1.25,0.0
17,2019-08-07,1.25,1.25,1.25,1.25,1.25,0.0
18,2019-08-08,1.25,1.25,1.25,1.25,1.25,0.0
19,2019-08-09,1.25,1.25,1.25,1.25,1.25,0.0
20,2019-08-12,1.25,1.25,1.25,1.25,1.25,0.0
21,2019-08-13,1.25,1.25,1.25,1.25,1.25,0.0
22,2019-08-14,1.25,1.25,1.25,1.25,1.25,0.0
23,2019-08-15,1.25,1.25,1.25,1.25,1.25,0.0
24,2019-08-16,1.25,1.25,1.25,1.25,1.25,0.0
25,2019-08-19,1.25,1.25,1.25,1.25,1.25,0.0
26,2019-08-20,1.25,1.25,1.25,1.25,1.25,0.0
27,2019-08-21,1.25,1.25,1.25,1.25,1.25,0.0
28,2019-08-22,1.25,1.25,1.25,1.25,1.25,0.0
29,2019-08-23,1.25,1.25,1.25,1.25,1.25,0.0
30,2019-08-27,1.25,1.25,1.25,1.25,1.25,0.0
31,2019-08-28,1.25,1.25,1.25,1.25,1.25,0.0
32,2019-08-29,1.25,1.25,1.25,1.25,1.25,0.0
33,2019-08-30,1.25,1.25,1.25,1.25,1.25,0.0
34,2019-09-02,1.25,1.25,1.25,1.25,1.25,0.0
35,2019-09-03,1.25,1.25,1.25,1.25,1.25,0.0
36,2019-09-04,1.25,1.25,1.25,1.25,1.25,0.0
37,2019-09-05,1.25,1.25,1.25,1.25,1.25,0.0
38,2019-09-06,1.25,1.25,1.25,1.25,1.25,0.0
39,2019-09-09,1.25,1.25,1.25,1.25,1.25,0.0
40,2019-09-10,1.25,1.25,1.25,1.25,1.25,0.0
41,2019-09-11,1.25,1.25,1.25,1.25,1.25,0.0
42,2019-09-12,1.25,1.25,1.25,1.25,1.25,0.0
43,2019-09-13,1.25,1.25,1.25,1.25,1.25,0.0
44,2019-09-16,1.25,1.25,1.25,1.25,1.25,0.0
45,2019-09-17,1.25,1.25,1.25,1.25,1.25,0.0
46,2019-09-18,1.25,1.25,1.25,1.25,1.25,0.0
47,2019-09-19,1.25,1.25,1.25,1.25,1.25,0.0
48,2019-09-20,1.25,1.25,1.25,1.25,1.25,0.0
49,2019-09-23,1.25,1.25,1.25,1.25,1.25,0.0
50,2019-09-24,1.25,1.25,1.25,1.25,1.25,0.0
51,2019-09-25,1.25,1.25,1.25,1.25,1.25,0.0
52,2019-09-26,1.25,1.25,1.25,1.25,1.25,0.0
53,2019-09-27,1.25,1.25,1.25,1.25,1.25,0.0
54,2019-09-30,1.25,1.25,1.25,1.25,1.25,0.0
55,2019-10-01,1.25,1.25,1.25,1.25,1.25,0.0
56,2019-10-02,1.25,1.25,1.25,1.25,1.25,0.0
57,2019-10-03,1.25,1.25,1.25,1.25,1.25,0.0
58,2019-10-04,1.25,1.25,1.25,1.25,1.25,0.0
59,2019-10-07,1.25,1.25,1.25,1.25,1.25,0.0
60,2019-10-08,1.25,1.25,1.25,1.25,1.25,0.0
61,2019-10-09,1.25,1.25,1.25,1.25,1.25,0.0
62,2019-10-10,1.25,1.25,1.25,1.25,1.25,0.0
63,2019-10-11,1.25,1.25,1.25,1.25,1.25,0.0
64,2019-10-14,1.25,1.25,1.25,1.25,1.25,0.0
65,2019-10-15,1.25,1.25,1.25,1.25,1.25,0.0
66,2019-10-16,1.25,1.25,1.25,1.25,1.25,0.0
67,2019-10-17,1.25,1.25,1.25,1.25,1.25,0.0
68,2019-10-18,1.25,1.25,1.25,1.25,1.25,0.0
69,2019-10-21,1.25,1.25,1.25,1.25,1.25,0.0
70,2019-10-22,1.25,1.25,1.25,1.25,1.25,0.0
71,2019-10-23,1.25,1.25,1.25,1.25,1.25,0.0
72,2019-10-24,1.25,1.25,1.25,1.25,1.25,0.0
73,2019-10-25,1.25,1.25,1.25,1.25,1.25,0.0
74,2019-10-28,1.25,1.25,1.25,1.25,1.25,0.0
75,2019-10-29,1.25,1.25,1.25,1.25,1.25,0.0
76,2019-10-30,1.25,1.25,1.25,1.25,1.25,0.0
77,2019-10-31,1.25,1.25,1.25,1.25,1.25,0.0
78,2019-11-01,1.25,1.25,1.25,1.25,1.25,0.0
79,2019-11-04,1.25,1.25,1.25,1.25,1.25,0.0
80,2019-11-05,1.25,1.25,1.25,1.25,1.25,0.0
81,2019-11-06,1.25,1.25,1.25,1.25,1.25,0.0
82,2019-11-07,1.25,1.25,1.25,1.25,1.25,0.0
83,2019-11-08,1.25,1.25,1.25,1.25,1.25,0.0
84,2019-11-11,1.25,1.25,1.25,1.25,1.25,0.0
85,2019-11-12,1.25,1.25,1.25,1.25,1.25,0.0
86,2019-11-13,1.25,1.25,1.25,1.25,1.25,0.0
